source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,rv_template_fe_h,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3313330156607642624,67.69267247025086,16.850665750471048,0.5306684338851437,3.662716400780069,1.3976725717806424,0.96357095,16.204887,1.16434,0.49991798,0.66442204,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5830.145,4.5523,-0.7955,1096.7628,0.9097,0.7459,0.4072
3313330186670335232,67.65155224895965,16.83006655900031,-0.06793637532168934,0.8575656282241194,0.39133438506844664,1.0601703,19.811304,1.8351974,0.79221916,1.0429783,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330186670335616,67.65813915009993,16.834458671429676,-0.11200103044775375,1.5773716044331016,-0.8265638557440252,1.0330261,19.974604,1.4349651,0.6586628,0.77630234,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330190964510848,67.64879244392914,16.828767416331583,1.1062487420688345,3.790388423360747,-2.5781801554982717,1.1742676,19.92843,1.500679,0.1697998,1.3308792,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330190965786112,67.649023695823,16.83612959616556,0.33009236292913946,0.9976961140634936,-3.560922398049925,0.9090512,18.386337,1.1093273,0.29483223,0.8144951,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330190967388544,67.65968560317081,16.82860168471967,1.3391219706507564,0.8527221673084925,-6.4488708408739095,1.0066335,16.5322,1.5872583,0.74708366,0.8401747,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4567.612,4.4966,-0.8002,752.9662,0.8928,0.6754,0.3624
3313330190967389312,67.64907201549624,16.830411091774184,0.9038523450750809,8.949279163170567,-3.6768991606414723,0.9686404,16.256208,1.3769197,0.6110401,0.76587963,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4963.1636,4.3635,-1.0572,1012.5081,0.8415,0.6597,0.3592
3313330190967389696,67.64818103658192,16.82864428229072,0.4559158273519996,2.844290638024462,-3.028160541368614,1.00462,16.831562,1.1888962,0.511734,0.6771622,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5599.1177,4.6715,-1.7462,1104.8013,0.8476,0.6897,0.3797
3313330190967655808,67.6488619270131,16.835481891373313,0.6040044633040942,5.066152313078765,-0.40533071030232526,1.001969,15.829414,1.1036663,0.4514618,0.6522045,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,6056.338,4.4051,-0.9455,1163.1633,0.9327,0.7731,0.4236
3313330221030005632,67.66396584452724,16.848768232129807,,,,,20.740643,1.7256489,0.55688095,1.1687679,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330221033147776,67.66322100953103,16.848568364380796,0.20465929967918334,-1.8211180067766384,-1.044793654480459,1.0339955,19.590258,1.1730042,0.49139214,0.681612,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330225326012288,67.66676343666697,16.841330709152388,1.7772842579379489,3.7283824446481653,-0.11484774136210582,1.0031224,20.634644,1.4731636,0.8066063,0.6665573,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330225327125120,67.66748757442015,16.833686360590384,0.2541073713428712,1.0904067584734876,-1.3089455131354897,0.9989122,16.316345,1.1200418,0.47545433,0.6445875,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5895.74,4.4528,-0.7252,1356.9478,0.8606,0.7092,0.3871
3313330225327403904,67.66477683104,16.844890577747435,1.8278227091149184,0.007062097842825743,-1.7680286245922745,0.9893309,20.491474,1.3857822,0.6355915,0.75019073,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330255389743360,67.6394748918142,16.845024507296202,0.9255941301094478,-0.2432409459067979,-9.563875255891247,1.016251,19.062967,2.105503,1.0842915,1.0212116,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330259686864256,67.64947332596046,16.841139033418454,0.8753045814684535,0.7136173233103436,-1.452967393065868,1.0624732,16.73603,1.4289436,0.64679337,0.78215027,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4998.137,4.6807,-0.7592,808.3394,0.9351,0.7289,0.3925
